Probe name,Rating in cell,Rating in organism,Number of Ratings,Unsuitable,URL,Target name,Target class,Target subclass,Published on,Uniprot ID,InChI key,SMILES,PAINS,Toxicophore,ChEMBL ID,canSAR ID,Reference (PMID),Mechanism of action,Potency value,Potency assay,Potency value in cells,Potency assay (cells),Potency in cells,Organism,Dose,Control compound
VE-821,2.7,0.0,3.0,No,https://www.chemicalprobes.org/ve-821,ATR,Protein kinase,Atypical,2015-12-10,Q13535,DUIHHZKTCSNTGM-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,No,No,CHEMBL1766779,1808649,"http://www.nature.com/nchembio/journal/v7/n7/full/nchembio.573.html, http://pubs.acs.org/doi/abs/10.1021/jm101488z, http://www.ncbi.nlm.nih.gov/pubmed/21490603, http://www.ncbi.nlm.nih.gov/pubmed/21413798",ATP-competititve inhibitor,13 nM,,,VE-821 dose-dependently inhibited ATR substrate phosphorylation in cells,,,,
PF-4800567,2.0,1.0,3.0,No,https://www.chemicalprobes.org/pf-4800567,CSNK1E,Protein kinase,CK1,2015-12-10,P49674,AUMDBEHGJRZSOO-UHFFFAOYSA-N,Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1,No,No,CHEMBL2069623,1644683,"https://doi.org/10.1124/jpet.109.151415, http://www.ncbi.nlm.nih.gov/pubmed/19458106",ATP-competitive inhibitor,32 nM,In vitro kinase assay,0.13 uM,Inhibition of protein substrate phosphorylation; CSNK1D IC50 = 2.65 uM,IC50,Other,100 mg/kg,
AZ191,3.0,0.0,3.0,No,https://www.chemicalprobes.org/az191,DYRK1B,Protein kinase,CMGC,2015-12-10,Q9Y463,ZYVXTMKTGDARKR-UHFFFAOYSA-N,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,No,No,CHEMBL3421968,466178,"http://www.biochemj.org/content/457/1/43.long, http://www.ncbi.nlm.nih.gov/pubmed/24134204",Inhibitor,17 nM,in vitro radioactivity-based substrate phosphorylation assay,,"In cells, AZ191 dose-dependently inhibited DYRK1B > DYRK1A substrate phosphorylation.",,,,
JIB-04,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/jib-04,,,,2016-12-15,,YHHFKWKMXWRVTJ-OQKWZONESA-N,Clc1ccc(N/N=C(\c2ccccc2)c2ccccn2)nc1,No,Yes,CHEMBL1982368,1354531,,,,,,,,,,
LY294002,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/ly294002,,,,2016-12-15,,CZQHHVNHHHRRDU-UHFFFAOYSA-N,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,No,No,CHEMBL98350,1394412,,,,,,,,,,
AMI-1,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/ami-1,,,,2017-03-07,,MOUNHKKCIGVIDI-UHFFFAOYSA-L,O=C(Nc1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+],No,No,CHEMBL3109656,723373,,,,,,,,,,
XMD17-109,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/xmd17-109,,,,2016-12-15,,XVBGRTMNFNMINE-UHFFFAOYSA-N,CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C,No,No,CHEMBL2381340,927800,,,,,,,,,,
DZNep,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/dznep,,,,2017-02-03,,OMKHWTRUYNAGFG-IEBDPFPHSA-N,Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,No,No,CHEMBL154745,1117457,,,,,,,,,,
Chaetocin,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/chaetocin,,,,2017-02-03,,PZPPOCZWRGNKIR-PNVYSBBASA-N,CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3,No,Yes,CHEMBL1089316,915616,,,,,,,,,,
Epiblastin A,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/epiblastin,,,,2020-12-05,,ZWNKKZSRANLVEW-UHFFFAOYSA-N,Nc1nc(N)c2nc(-c3cccc(Cl)c3)c(N)nc2n1,No,No,,2922952,"http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30085-X, http://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3Fshowall%3Dtruehttp://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3F, https://www.ncbi.nlm.nih.gov/pubmed/27049670, https://www.ncbi.nlm.nih.gov/pubmed/27149845",,,,,,,,,
JAK3i,2.3,2.3,3.0,No,https://www.chemicalprobes.org/jak3i,JAK3,Protein kinase,TK,2016-09-09,P52333,KNLROUBMVYVLGX-UHFFFAOYSA-N,C=CC(=O)Nc1ccc(F)c(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,Yes,Yes,CHEMBL4209692,1788744,"http://www.nature.com/nchembio/journal/v12/n5/full/nchembio.2056.html, http://www.ncbi.nlm.nih.gov/pubmed/27018889",Irreversible inhibitor,0.43 nM,"JAK3 in vitro kinase assay with JAK3 kinase domain (Invitrogen), 100 uM ATP, 30 minute pre-incubation and 30 minute incubation with substrate (JAK3Tide) + 32P ATP.",3.7 nM,"IL-2-induced proliferation of CD4+ T-cell blasts from mouse. Briefly, CD4 T-cell blasts were stimulated with 50 units/mL of rhIL-2, incubated for 24 hours, and then proliferation was assessed by 24-hour tritiated thymidine uptake.  
Multiple assays downstream of IL-2 were performed with some variation in IC50: 47 nM for formation of pSTAT5 (FACS), 3.1 nM for upregulation of IL-2Ralpha (CD25) at 24-hours post-IL-2 stimulation, 6.8 nM for IFN-gamma production 24-hours post-IL-2 stimulation.",IC50,Other,40 mg/kg,Compound 2 from Smith et al. 2016 (propionamide of JAK3i)
eCF309,3.0,0.0,3.0,No,https://www.chemicalprobes.org/ecf309,MTOR,Protein kinase,Atypical,2016-10-17,P42345,PSICWGWNIOOULV-UHFFFAOYSA-N,CCOC(Cn1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21)OCC,No,Yes,CHEMBL3800481,129518,http://pubs.rsc.org/en/content/articlelanding/md/2016/c5md00493d#!divAbstract,ATP-competitive inhibitor,15 nM,"MTOR kinase activity relative to DMSO was determined by measuring 33P incorporation on its substrate (poly[Glu,Tyr]4:1) by Reaction Biology Corp., USA. 
eCF309 was tested at 10 different doses with 3-fold serial dilution starting from 10 μM.",<30nM; 8-72 nM,"To verify that eCF309 inhibits both mTORC1 and mTORC2 signalling in cells by inhibition of the mTOR catalytic domain, phosphorylation of downstream targets of both complexes were assessed in MCF7 breast cancer cells by Western blot. Phosphorylation levels of the p70 ribosomal S6 kinase 1 (P70S6K) and its substrate S6 were analysed as substrates of mTORC1, and phospho-AKT (Y473) as an mTORC2 substrate. eCF309 mediated a dose-dependent reduction of the pP70S6K, pS6 and pAKT levels in MCF7 cells, achieving almost complete inhibition of the phosphorylation of these targets at 30 nM. 
 
Antiproliferative activity of eCF309 against cancer cell lines was also evaluated using the PrestoBlue reagent. EC50 = 8 nM in MCF7 cells, 37 nM in PC3 cells; 72 nM in MDA-MB-231 cells. As expected by an mTOR inhibitor, eCF309 reduced cell proliferation in these cell lines by cell cycle arrest.","IC50, EC50",,,
Tandutinib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/tandutinib,,,,2016-12-09,,UXXQOJXBIDBUAC-UHFFFAOYSA-N,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,No,No,CHEMBL124660,848749,,,,,,,,,,
Quercetin,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/quercetin,,,,2016-12-09,,REFJWTPEDVJJIY-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Yes,Yes,CHEMBL50,1305802,,,,,,,,,,
Dinaciclib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/dinaciclib,,,,2016-12-09,,PIMQWRZWLQKKBJ-SFHVURJKSA-N,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,No,No,CHEMBL2103840,256723,,,,,,,,,,
Epigallocatechin-3-gallate (ECGC),0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/epigallocatechin-3-gallate-ecgc,,,,2016-12-09,,WMBWREPUVVBILR-WIYYLYMNSA-N,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Yes,Yes,CHEMBL297453,498738,,,,,,,,,,
Resveratrol,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/resveratrol,,,,2016-12-09,,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,No,No,CHEMBL165,96102,,,,,,,,,,
Suramin,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/suramin,,,,2016-12-09,,FIAFUQMPZJWCLV-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,No,No,CHEMBL265502,1009853,,,,,,,,,,
Trifluoperazine,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/trifluoperazine,,,,2016-12-09,,ZEWQUBUPAILYHI-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,No,No,CHEMBL422,1899498,,,,,,,,,,
Fluoxetine glucuronide,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/fluoxetine-glucuronide,,,,2016-12-09,,RRKRXIFOHFBLHY-YEZSYGFXSA-M,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O.[Na+],No,No,,3312909,,,,,,,,,,
Doxorubicin,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/doxorubicin,,,,2016-12-09,,AOJJSUZBOXZQNB-TZSSRYMLSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,Yes,Yes,CHEMBL53463,791569,,,,,,,,,,
Vandetanib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/vandetanib,,,,2016-12-09,,UHTHHESEBZOYNR-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,No,No,CHEMBL24828,233726,,,,,,,,,,
Axitinib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/axitinib,,,,2016-12-09,,RITAVMQDGBJQJZ-FMIVXFBMSA-N,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,No,No,CHEMBL1289926,1927385,,,,,,,,,,
NVP-TAE 226,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/nvp-tae-226,,,,2016-12-09,,UYJNQQDJUOUFQJ-UHFFFAOYSA-N,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,No,No,CHEMBL458997,512994,,,,,,,,,,
PD173955,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/pd173955,,,,2016-12-09,,VAARYSWULJUGST-UHFFFAOYSA-N,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,No,No,CHEMBL386051,158055,,,,,,,,,,
AST 487,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/ast-487,,,,2016-12-09,,ODPGGGTTYSGTGO-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,No,No,CHEMBL574738,764849,,,,,,,,,,
Vorinostat,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/vorinostat,,,,2017-04-10,,WAEXFXRVDQXREF-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccccc1)NO,No,Yes,CHEMBL98,1113023,,,,,,,,,,
G-5555,3.7,2.7,3.0,No,https://www.chemicalprobes.org/g-5555,"PAK1, PAK2, PAK3","Protein kinase, Protein kinase, Protein kinase","STE, STE, STE",2016-11-29,"Q13153, Q13177, O75914",ZBCMHWUFWQFPLV-VVOJOOEHSA-N,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,No,No,CHEMBL3770443,660740,"http://pubs.acs.org/doi/abs/10.1021/acsmedchemlett.5b00398, https://www.ncbi.nlm.nih.gov/pubmed/?term=26713112",ATP-competitive inhibitor,3.7 nM,Measuring the phosphorylation of a FRET peptide substrate (Ser/Thr19) labeled with Coumarin and Fluorescein,69 nM,pMEK (S298) phosphorylation assay using EBC-1 cells,IC50,Other,"10, 20, and 30 mg/kg","(R)-6-(2-Chloro-4-(4-methyl-2-oxopyridin-1(2H)-yl)phenyl)- 2-(methylamino)-8-(morpholin-2-ylmethyl)pyrido[2,3-d]- pyrimidin-7(8H)-one"
Sunitinib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/sunitinib,,,,2016-12-09,,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,Yes,No,CHEMBL535,154683,,,,,,,,,,
XL-647,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/xl-647,,,,2016-12-09,,HVXKQKFEHMGHSL-QKDCVEJESA-N,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,No,No,CHEMBL3544983,535317,,,,,,,,,,
Apomorphine,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/apomorphine,,,,2016-12-09,,VMWNQDUVQKEIOC-CYBMUJFWSA-N,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,Yes,Yes,CHEMBL53,1185273,,,,,,,,,,
Ebselen,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/ebselen,,,,2016-12-09,,DYEFUKCXAQOFHX-UHFFFAOYSA-N,O=c1c2ccccc2[se]n1-c1ccccc1,No,Yes,CHEMBL51085,65636,,,,,,,,,,
Digitoflavone,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/digitoflavone,,,,2016-12-09,,IQPNAANSBPBGFQ-UHFFFAOYSA-N,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Yes,Yes,CHEMBL151,1241698,,,,,,,,,,
Apigenin,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/apigenin,,,,2016-12-09,,KZNIFHPLKGYRTM-UHFFFAOYSA-N,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,No,No,CHEMBL28,1161291,,,,,,,,,,
Curcumin,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/curcumin,,,,2016-12-09,,ZIUSSTSXXLLKKK-KOBPDPAPSA-N,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,No,Yes,CHEMBL116438,1795385,,,,,,,,,,
Dipyridamole,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/dipyridamole,,,,2016-12-09,,IZEKFCXSFNUWAM-UHFFFAOYSA-N,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,No,No,CHEMBL932,681918,,,,,,,,,,
Crizotinib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/crizotinib,,,,2016-12-09,,KTEIFNKAUNYNJU-GFCCVEGCSA-N,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,No,No,CHEMBL601719,259783,,,,,,,,,,
Amiodarone,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/amiodarone,,,,2016-12-09,,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,No,No,CHEMBL633,322374,,,,,,,,,,
Linifanib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/linifanib,,,,2016-12-09,,MPVGZUGXCQEXTM-UHFFFAOYSA-N,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,No,No,CHEMBL223360,1920436,,,,,,,,,,
Dovitinib lactate,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/dovitinib-lactate,,,,2016-12-09,,QDPVYZNVVQQULH-UHFFFAOYSA-N,CC(O)C(=O)O.CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1.O,No,No,CHEMBL4297063,711445,,,,,,,,,,
"5,7-Dihydroxyflavone",0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/57-dihydroxyflavone,,,,2016-12-09,,RTIXKCRFFJGDFG-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,No,No,CHEMBL117,1115786,,,,,,,,,,
NVP-TAE684,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/nvp-tae684,,,,2016-12-09,,QQWUGDVOUVUTOY-UHFFFAOYSA-N,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,No,No,CHEMBL509032,868137,,,,,,,,,,
JNJ-28312141,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/jnj-28312141,,,,2016-12-09,,GUBJNPWVIUFSTR-UHFFFAOYSA-N,CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1,No,No,CHEMBL1908842,591760,,,,,,,,,,
Ilorasertib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/ilorasertib,,,,2016-12-09,,WPHKIQPVPYJNAX-UHFFFAOYSA-N,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,No,No,CHEMBL1980297,644156,,,,,,,,,,
Intedanib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/intedanib,,,,2016-12-09,,XZXHXSATPCNXJR-ZIADKAODSA-N,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,No,Yes,CHEMBL502835,817948,,,,,,,,,,
PF-562271,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/pf-562271,,,,2016-12-09,,MZDKLVOWGIOKTN-UHFFFAOYSA-N,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,No,No,CHEMBL1084546,631801,,,,,,,,,,
Kenpaullone,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/kenpaullone,,,,2016-12-09,,QQUXFYAWXPMDOE-UHFFFAOYSA-N,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,No,No,CHEMBL296586,1185198,,,,,,,,,,
CHEMBL1908393,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/chembl1908393,,,,2016-12-09,,SEJGTFPOEJWEGG-UHFFFAOYSA-N,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)NC5=CCC(F)C=C5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,No,No,,3100290,,,,,,,,,,
Fedratinib,0.0,0.0,0.0,Yes,https://www.chemicalprobes.org/unsuitables/fedratinib,,,,2016-12-09,,JOOXLOJCABQBSG-UHFFFAOYSA-N,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,No,No,CHEMBL1287853,729057,,,,,,,,,,
